0,1,2
指 标,绝对数(亿元),比上年增长(%)
进出口总额,19898.50,0.8
出口额,12386.19,5.3
其中：一般贸易,9494.25,6.9
加工贸易,1428.99,12.2
其中：机电产品,5340.83,3.0
其中：高新技术产品,1243.78,-1.9
进口额,7512.31,-5.8
其中：一般贸易,6018.70,-9.6
加工贸易,673.27,3.4
其中：机电产品,1203.76,0.7
其中：高新技术产品,911.45,0.5
